Player,Team,Position
Luis Castillo,SEA,P
Joe Mack,MIA,C
George Lombard Jr.,NYY,SS
Luis Garcia,WAS,1B
Kenley Jansen,DET,P
Carlos Santana,ARI,1B
Paul Goldschmidt,NYY,1B
Freddie Freeman,LAD,1B
Merrill Kelly,ARI,P
Chris Sale,ATL,P
Will Smith,LAD,C
Giancarlo Stanton,NYY,OF
Gerrit Cole,NYY,P
Nathan Eovaldi,TEX,P
Sonny Gray,BOS,P
Marcus Semien,NYM,2B
George Springer,TOR,OF
Mike Trout,LAA,OF
Bryce Harper,PHI,1B
Aroldis Chapman,BOS,P
Zack Wheeler,PHI,P
Nolan Arenado,ARI,3B
Max Muncy,LAD,3B
Max Muncy,ATH,3B
Christian Walker,HOU,1B
Willson Contreras,BOS,1B
Nick Castellanos,SD,OF
Kevin Gausman,TOR,P
Aaron Judge,NYY,OF
Manny Machado,SD,3B
Robbie Ray,SF,P
Christian Yelich,MIL,OF
Xander Bogaerts,SD,SS
Jacob deGrom,TEX,P
Francisco Lindor,NYM,SS
Trevor Story,BOS,SS
Nick Pivetta,SD,P
Mookie Betts,LAD,SS
Clay Holmes,NYM,P
Aaron Nola,PHI,P
Brandon Woodruff,MIL,P
Ketel Marte,ARI,2B
Brandon Nimmo,TEX,OF
Jacob Wilson,ATH,SS
Tyler Glasnow,LAD,P
Trea Turner,PHI,SS
Alex Bregman,CHC,3B
Max Fried,NYY,P
Corey Seager,TEX,SS
Dansby Swanson,CHC,SS
Carlos Correa,HOU,3B
Byron Buxton,MIN,OF
Taylor Ward,BAL,OF
Matt Olson,ATL,1B
Luis Severino,ATH,P
Paul Sewald,ARI,P
Josh Hader,HOU,P
Justin Topa,MIN,P
Jorge Soler,LAA,OF
Raisel Iglesias,ATL,P
Cody Bellinger,NYY,OF
Devin Williams,NYM,P
Freddy Peralta,NYM,P
Willy Adames,SF,SS
Jeff McNeil,ATH,2B
Ozzie Albies,ATL,2B
Rafael Devers,SF,OF
Josh Naylor,SEA,1B
Gleyber Torres,DET,2B
Willi Castro,COL,2B
Bryan Abreu,HOU,P
Dylan Cease,TOR,P
Matt Chapman,SF,3B
Jack Flaherty,DET,P
Jeff Hoffman,TOR,P
Mitch Keller,PIT,P
Trevor Megill,MIL,P
Drew Rasmussen,TB,P
Kyle Schwarber,PHI,OF
Logan Webb,SF,P
Joe Ryan,MIN,P
Shohei Ohtani,LAD,OF
William Contreras,MIL,C
Daulton Varsho,TOR,OF
Kris Bubic,KC,P
Nico Hoerner,CHC,2B
Shane McClanahan,TB,P
Austin Riley,ATL,3B
Ryan Mountcastle,BAL,1B
Kyle Tucker,LAD,OF
Jonathan India,KC,2B
Cal Raleigh,SEA,C
Nick Fortes,TB,C
Nathaniel Lowe,CIN,1B
Ian Happ,CHC,OF
Brandon Lowe,PIT,2B
Pete Fairbanks,MIA,P
Framber Valdez,DET,P
Cristian Javier,HOU,P
Alec Bohm,PHI,3B
Ryan Helsley,BAL,P
Vladimir Guerrero Jr.,TOR,1B
Juan Soto,NYM,OF
Edward Cabrera,CHC,P
Oneil Cruz,PIT,OF
Jazz Chisholm Jr.,NYY,2B
Jonathan Aranda,TB,1B
Cole Ragans,KC,P
Tyler Fitzgerald,,2B
Nick Lodolo,CIN,P
Jo Adell,LAA,OF
Bo Bichette,NYM,3B
Bo Naylor,CLE,C
Matt Brash,SEA,P
Brent Rooker,ATH,OF
Randy Arozarena,SEA,OF
Zac Gallen,ARI,P
JJ Bleday,CIN,OF
Bryan Reynolds,PIT,OF
Hunter Greene,CIN,P
Royce Lewis,MIN,3B
Gavin Williams,CLE,P
Brice Turang,MIL,2B
Adley Rutschman,BAL,C
MacKenzie Gore,TEX,P
Kyle Stowers,MIA,OF
Shea Langeliers,ATH,C
Ryne Nelson,ARI,P
Corbin Burnes,ARI,P
Austin Wells,NYY,C
Logan Gilbert,SEA,P
Nolan Gorman,STL,3B
Shane Baz,BAL,P
Xavier Edwards,MIA,2B
Tarik Skubal,DET,P
Jake Burger,TEX,1B
Trevor Rogers,BAL,P
George Kirby,SEA,P
Luke Raley,SEA,OF
David Bednar,NYY,P
Isaac Paredes,HOU,OF
Andrew Abbott,CIN,P
Heliot Ramos,SF,OF
Lawrence Butler,ATH,OF
Taj Bradley,MIN,P
Michael Harris II,ATL,OF
Cade Smith,CLE,P
Gabriel Moreno,ARI,C
Otto Lopez,MIA,SS
Geraldo Perdomo,ARI,SS
Lenyn Sosa,CWS,2B
Yainer Diaz,HOU,C
Luis Robert Jr.,NYM,OF
Kodai Senga,NYM,P
Seiya Suzuki,CHC,OF
Spencer Strider,ATL,P
Emerson Hancock,SEA,P
Ernie Clement,TOR,2B
Tanner Bibee,CLE,P
Alec Burleson,STL,1B
Jake Meyers,HOU,OF
Max Meyer,MIA,P
Garrett Crochet,BOS,P
Wilyer Abreu,BOS,OF
Alek Thomas,ARI,OF
Bobby Witt Jr.,KC,SS
Ryan Weathers,NYY,P
Ezequiel Tovar,COL,SS
Ceddanne Rafaela,BOS,OF
Spencer Torkelson,DET,1B
